id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val2,0,0.020,0.005,0.102,0.126
1,4,val1,1,0.065,0.004,0.924,0.993
2,3,val1,5,0.162,0.004,0.830,0.996
3,3,val3,1,0.060,0.003,0.933,0.997
4,3,val1,13,0.368,0.005,0.625,0.997
5,3,val3,17,0.471,0.005,0.522,0.997
6,4,val1,5,0.167,0.004,0.827,0.997
7,4,val2,9,0.269,0.004,0.725,0.998
8,3,val3,9,0.264,0.004,0.730,0.998
9,4,val3,13,0.372,0.004,0.621,0.998
10,3,val1,25,0.675,0.006,0.317,0.998
11,4,val1,17,0.476,0.004,0.518,0.998
12,4,val3,21,0.579,0.005,0.415,0.999
13,3,val2,21,0.573,0.005,0.420,0.999
14,3,val3,33,0.886,0.008,0.106,0.999
15,3,val2,29,0.778,0.006,0.215,0.999
16,4,val2,25,0.681,0.006,0.312,0.999
17,4,val2,29,0.785,0.006,0.208,0.999
18,4,val3,33,0.891,0.005,0.105,1.001
19,1,val2,6,0.178,0.004,0.825,1.007
20,1,val3,2,0.075,0.003,0.928,1.007
21,1,val2,18,0.485,0.005,0.518,1.008
22,1,val3,14,0.382,0.005,0.621,1.008
23,1,val2,22,0.587,0.006,0.415,1.008
24,1,val3,26,0.689,0.006,0.314,1.008
25,1,val3,30,0.793,0.007,0.209,1.009
26,0,val3,2,0.071,0.004,0.934,1.009
27,1,val1,10,0.280,0.004,0.725,1.009
28,0,val1,10,0.275,0.004,0.729,1.009
29,1,val2,34,0.896,0.008,0.106,1.010
30,0,val2,22,0.583,0.006,0.421,1.009
31,0,val3,6,0.173,0.004,0.833,1.010
32,0,val1,14,0.378,0.004,0.628,1.010
33,0,val2,26,0.684,0.006,0.321,1.011
34,0,val3,18,0.481,0.005,0.526,1.011
35,0,val1,30,0.791,0.006,0.215,1.012
36,0,val3,34,0.897,0.008,0.109,1.014
37,2,val1,2,0.081,0.003,0.932,1.016
38,2,val2,6,0.184,0.004,0.829,1.017
39,2,val2,10,0.286,0.004,0.727,1.018
40,2,val1,14,0.390,0.005,0.624,1.018
41,2,val1,22,0.593,0.006,0.420,1.018
42,2,val2,18,0.491,0.004,0.524,1.019
43,2,val2,26,0.696,0.006,0.318,1.019
44,2,val2,34,0.905,0.008,0.106,1.020
45,3,val3,6,0.188,0.004,0.828,1.020
46,3,val2,2,0.085,0.004,0.931,1.020
47,3,val2,14,0.393,0.005,0.622,1.020
48,3,val2,18,0.496,0.004,0.521,1.022
49,3,val2,22,0.598,0.005,0.418,1.022
50,3,val3,34,0.911,0.005,0.106,1.022
51,0,val3,7,0.199,0.004,0.824,1.027
52,3,val1,10,0.290,0.004,0.735,1.029
53,0,val2,3,0.096,0.004,0.927,1.028
54,0,val2,15,0.403,0.005,0.620,1.028
55,0,val2,19,0.506,0.005,0.517,1.028
56,0,val2,23,0.608,0.006,0.415,1.029
57,2,val1,30,0.799,0.007,0.222,1.028
58,1,val2,3,0.101,0.004,0.923,1.028
59,0,val3,27,0.710,0.007,0.313,1.030
60,3,val1,30,0.804,0.007,0.219,1.030
61,4,val2,6,0.192,0.004,0.835,1.031
62,4,val3,18,0.502,0.004,0.525,1.031
63,4,val2,10,0.295,0.004,0.733,1.032
64,4,val3,30,0.812,0.006,0.215,1.032
65,0,val3,31,0.817,0.005,0.209,1.032
66,1,val2,7,0.203,0.004,0.826,1.032
67,1,val1,11,0.306,0.004,0.723,1.033
68,4,val1,22,0.606,0.004,0.422,1.032
69,1,val2,19,0.510,0.005,0.518,1.033
70,4,val2,14,0.398,0.004,0.630,1.033
71,4,val1,2,0.090,0.004,0.939,1.033
72,1,val3,15,0.408,0.005,0.620,1.033
73,4,val2,26,0.707,0.006,0.321,1.033
74,1,val2,27,0.715,0.007,0.312,1.034
75,3,val1,26,0.701,0.006,0.327,1.034
76,1,val3,31,0.820,0.006,0.208,1.034
77,1,val2,35,0.922,0.007,0.106,1.034
78,0,val1,11,0.300,0.004,0.729,1.034
79,0,val1,35,0.923,0.005,0.108,1.035
80,1,val1,23,0.612,0.006,0.418,1.036
81,4,val1,34,0.918,0.007,0.111,1.036
82,2,val2,3,0.107,0.004,0.930,1.041
83,2,val1,7,0.210,0.004,0.828,1.041
84,2,val2,19,0.516,0.005,0.521,1.041
85,2,val3,15,0.415,0.004,0.622,1.041
86,2,val1,11,0.312,0.004,0.725,1.042
87,2,val2,23,0.618,0.005,0.419,1.042
88,2,val1,27,0.722,0.006,0.316,1.043
89,2,val1,31,0.827,0.006,0.210,1.043
90,4,val1,3,0.116,0.004,0.926,1.046
91,3,val3,7,0.213,0.004,0.828,1.045
92,3,val1,3,0.110,0.004,0.931,1.046
93,3,val1,15,0.419,0.005,0.622,1.046
94,3,val1,23,0.624,0.005,0.417,1.047
95,3,val2,11,0.316,0.005,0.727,1.047
96,4,val3,7,0.218,0.004,0.826,1.047
97,4,val3,19,0.527,0.005,0.516,1.048
98,4,val2,11,0.320,0.004,0.724,1.048
99,4,val2,15,0.425,0.004,0.620,1.049
100,4,val2,27,0.733,0.006,0.310,1.049
101,3,val2,19,0.522,0.005,0.522,1.049
102,3,val2,27,0.727,0.006,0.316,1.049
103,3,val2,31,0.831,0.007,0.212,1.049
104,4,val1,23,0.630,0.005,0.415,1.049
105,4,val1,31,0.839,0.005,0.207,1.050
106,1,val2,8,0.228,0.004,0.828,1.060
107,0,val2,4,0.122,0.004,0.934,1.060
108,0,val1,12,0.326,0.004,0.730,1.060
109,0,val3,24,0.634,0.006,0.421,1.060
110,1,val2,0,0.025,0.006,1.030,1.060
111,0,val3,28,0.737,0.006,0.317,1.061
112,0,val2,8,0.224,0.004,0.833,1.061
113,0,val1,16,0.429,0.004,0.627,1.061
114,1,val1,4,0.127,0.003,0.931,1.061
115,1,val1,12,0.332,0.005,0.725,1.062
116,1,val1,20,0.536,0.006,0.520,1.062
117,1,val1,24,0.638,0.006,0.419,1.063
118,0,val1,20,0.532,0.005,0.525,1.061
119,0,val1,32,0.844,0.006,0.212,1.062
120,1,val3,16,0.434,0.005,0.625,1.063
121,1,val2,28,0.741,0.006,0.316,1.064
122,1,val3,32,0.847,0.006,0.211,1.065
123,2,val1,4,0.133,0.004,0.931,1.068
124,2,val2,0,0.030,0.005,1.034,1.068
125,2,val3,12,0.339,0.005,0.725,1.069
126,2,val1,8,0.235,0.005,0.829,1.069
127,2,val2,16,0.440,0.005,0.624,1.069
128,2,val3,24,0.644,0.006,0.420,1.070
129,2,val1,20,0.542,0.005,0.523,1.070
130,2,val3,28,0.747,0.007,0.317,1.070
131,2,val1,32,0.854,0.005,0.212,1.071
132,3,val3,4,0.137,0.003,0.936,1.076
133,3,val2,0,0.035,0.005,1.037,1.077
134,3,val3,16,0.445,0.005,0.628,1.077
135,3,val2,8,0.239,0.005,0.835,1.078
136,3,val2,12,0.341,0.005,0.732,1.078
137,3,val3,24,0.650,0.006,0.423,1.078
138,3,val3,28,0.752,0.006,0.320,1.079
139,3,val2,20,0.547,0.005,0.527,1.079
140,4,val3,4,0.141,0.004,0.935,1.080
141,3,val1,32,0.858,0.006,0.216,1.080
142,4,val3,0,0.040,0.005,1.036,1.080
143,4,val2,8,0.243,0.004,0.835,1.082
144,4,val1,12,0.346,0.005,0.731,1.082
145,4,val2,16,0.450,0.005,0.629,1.083
146,4,val1,20,0.553,0.005,0.525,1.084
147,0,val3,5,0.148,0.004,0.934,1.086
148,0,val2,9,0.250,0.004,0.832,1.086
149,0,val1,1,0.046,0.004,1.037,1.086
150,4,val3,32,0.865,0.005,0.214,1.084
151,4,val2,24,0.656,0.006,0.423,1.085
152,4,val1,28,0.758,0.006,0.320,1.085
153,0,val3,17,0.454,0.005,0.627,1.087
154,1,val1,5,0.152,0.004,0.931,1.087
155,0,val1,13,0.352,0.004,0.731,1.087
156,1,val1,9,0.254,0.004,0.829,1.088
157,0,val1,29,0.763,0.007,0.318,1.088
158,1,val3,13,0.357,0.005,0.726,1.088
159,0,val3,21,0.557,0.006,0.525,1.088
160,1,val2,1,0.050,0.004,1.034,1.088
161,0,val3,25,0.659,0.006,0.424,1.089
162,0,val2,33,0.870,0.005,0.214,1.089
163,1,val1,17,0.459,0.005,0.624,1.089
164,1,val3,21,0.562,0.006,0.522,1.089
165,1,val1,25,0.663,0.006,0.420,1.089
166,1,val3,29,0.767,0.006,0.316,1.090
167,1,val2,33,0.871,0.010,0.209,1.090
168,2,val2,1,0.055,0.003,1.035,1.093
169,2,val3,17,0.465,0.005,0.624,1.094
170,2,val2,5,0.159,0.004,0.932,1.094
171,2,val2,9,0.260,0.004,0.830,1.095
172,2,val3,21,0.567,0.006,0.522,1.095
173,2,val1,13,0.363,0.004,0.728,1.095
174,2,val2,25,0.670,0.006,0.420,1.096
175,2,val1,29,0.773,0.006,0.317,1.096
176,2,val1,33,0.879,0.006,0.212,1.096
177,4,val2,72,1.906,0.008,0.104,2.018
178,1,val2,41,1.077,0.005,0.937,2.019
179,1,val1,57,1.494,0.007,0.520,2.020
180,1,val2,73,1.908,0.007,0.105,2.020
181,4,val2,37,0.999,0.005,1.019,2.023
182,0,val1,49,1.289,0.006,0.730,2.025
183,2,val2,37,0.982,0.009,1.035,2.026
184,2,val3,49,1.292,0.005,0.730,2.027
185,0,val3,37,0.976,0.007,1.043,2.026
186,0,val2,61,1.599,0.007,0.420,2.026
187,0,val3,41,1.084,0.008,0.934,2.027
188,0,val3,53,1.392,0.006,0.629,2.027
189,0,val3,45,1.186,0.005,0.836,2.027
190,0,val2,73,1.915,0.008,0.105,2.028
191,2,val3,41,1.085,0.012,0.930,2.027
192,2,val2,65,1.710,0.006,0.312,2.028
193,1,val1,49,1.288,0.005,0.735,2.028
194,1,val1,69,1.806,0.008,0.215,2.029
195,1,val1,37,0.974,0.005,1.051,2.029
196,2,val3,57,1.500,0.006,0.523,2.029
197,2,val2,69,1.813,0.007,0.210,2.030
198,2,val2,73,1.917,0.007,0.106,2.030
199,0,val1,57,1.495,0.007,0.528,2.030
200,0,val1,69,1.810,0.007,0.213,2.030
201,3,val2,41,1.095,0.005,0.933,2.033
202,3,val3,45,1.197,0.005,0.830,2.033
203,1,val1,38,0.999,0.011,1.025,2.035
204,2,val1,61,1.604,0.006,0.424,2.035
205,2,val1,53,1.397,0.006,0.633,2.035
206,0,val1,65,1.707,0.006,0.322,2.035
207,1,val1,42,1.104,0.005,0.927,2.036
208,1,val1,65,1.704,0.006,0.326,2.036
209,3,val2,37,0.988,0.012,1.036,2.036
210,3,val3,49,1.300,0.005,0.731,2.036
211,3,val3,57,1.505,0.007,0.525,2.037
212,0,val3,42,1.109,0.004,0.925,2.038
213,0,val3,50,1.314,0.006,0.718,2.039
214,3,val1,61,1.611,0.006,0.421,2.037
215,3,val1,53,1.403,0.006,0.629,2.038
216,2,val1,42,1.112,0.004,0.923,2.039
217,3,val1,69,1.822,0.005,0.212,2.040
218,3,val1,65,1.716,0.006,0.318,2.040
219,4,val1,45,1.208,0.004,0.828,2.040
220,4,val3,41,1.106,0.004,0.932,2.042
221,0,val1,38,1.006,0.010,1.028,2.043
222,4,val1,49,1.311,0.005,0.727,2.043
223,4,val2,53,1.416,0.006,0.622,2.043
224,4,val2,57,1.518,0.006,0.520,2.044
225,4,val1,61,1.621,0.006,0.417,2.044
226,1,val3,54,1.417,0.007,0.621,2.045
227,4,val1,65,1.726,0.006,0.314,2.045
228,1,val3,62,1.624,0.007,0.415,2.045
229,4,val1,69,1.829,0.006,0.211,2.046
230,1,val2,46,1.209,0.005,0.832,2.046
231,1,val2,50,1.313,0.005,0.728,2.047
232,1,val2,58,1.520,0.006,0.521,2.047
233,1,val2,66,1.728,0.006,0.314,2.048
234,1,val2,70,1.831,0.007,0.210,2.048
235,2,val3,46,1.215,0.005,0.832,2.051
236,0,val1,46,1.213,0.005,0.833,2.051
237,0,val1,54,1.418,0.006,0.628,2.052
238,0,val1,58,1.522,0.006,0.524,2.052
239,0,val1,62,1.627,0.006,0.419,2.052
240,2,val2,50,1.318,0.005,0.729,2.053
241,0,val1,66,1.731,0.007,0.315,2.053
242,2,val3,54,1.423,0.005,0.625,2.053
243,0,val1,70,1.836,0.007,0.211,2.054
244,2,val1,58,1.527,0.006,0.521,2.053
245,2,val2,62,1.631,0.006,0.418,2.054
246,2,val1,38,1.007,0.021,1.026,2.054
247,2,val3,66,1.736,0.006,0.313,2.055
248,2,val3,70,1.839,0.007,0.210,2.055
249,3,val3,42,1.121,0.004,0.937,2.062
250,3,val2,46,1.223,0.005,0.834,2.063
251,3,val1,54,1.429,0.006,0.629,2.063
252,3,val1,62,1.638,0.005,0.420,2.064
253,4,val2,42,1.131,0.005,0.928,2.063
254,4,val2,46,1.233,0.005,0.826,2.064
255,4,val1,38,1.028,0.010,1.026,2.064
256,3,val3,38,1.017,0.007,1.040,2.064
257,3,val3,50,1.326,0.005,0.733,2.064
258,3,val3,58,1.532,0.006,0.527,2.065
259,3,val2,66,1.744,0.005,0.317,2.066
260,3,val2,70,1.849,0.005,0.213,2.067
261,4,val1,50,1.337,0.005,0.725,2.067
262,1,val1,43,1.131,0.005,0.931,2.067
263,4,val1,54,1.442,0.005,0.620,2.068
264,4,val1,58,1.543,0.008,0.517,2.069
265,4,val1,66,1.752,0.007,0.310,2.069
266,1,val1,39,1.025,0.011,1.036,2.072
267,1,val1,71,1.858,0.008,0.208,2.073
268,4,val3,35,0.944,0.005,1.126,2.074
269,4,val3,70,1.855,0.007,0.212,2.075
270,1,val3,47,1.235,0.005,0.835,2.075
271,1,val3,63,1.651,0.007,0.418,2.076
272,1,val3,59,1.547,0.007,0.522,2.076
273,1,val3,55,1.442,0.006,0.629,2.077
274,0,val3,47,1.239,0.005,0.835,2.079
275,0,val3,51,1.340,0.006,0.734,2.080
276,1,val2,51,1.339,0.005,0.736,2.080
277,4,val2,62,1.647,0.007,0.426,2.080
278,0,val1,55,1.444,0.006,0.631,2.081
279,1,val2,67,1.754,0.007,0.320,2.081
280,2,val3,47,1.240,0.006,0.835,2.081
281,1,val3,36,0.948,0.007,1.125,2.081
282,0,val1,67,1.758,0.007,0.316,2.081
283,2,val3,59,1.553,0.007,0.521,2.081
284,2,val3,67,1.762,0.008,0.312,2.081
285,2,val1,43,1.137,0.005,0.940,2.082
286,0,val2,43,1.134,0.005,0.943,2.082
287,2,val3,71,1.865,0.008,0.209,2.082
288,0,val1,71,1.863,0.006,0.213,2.083
289,2,val1,35,0.929,0.007,1.148,2.084
290,2,val2,55,1.449,0.006,0.630,2.084
291,0,val2,39,1.030,0.009,1.044,2.083
292,2,val1,39,1.033,0.011,1.040,2.085
293,2,val1,51,1.345,0.005,0.734,2.085
294,0,val1,36,0.949,0.005,1.129,2.083
295,2,val1,63,1.659,0.006,0.420,2.085
296,0,val2,59,1.549,0.006,0.529,2.084
297,0,val2,63,1.653,0.007,0.424,2.084
298,2,val3,44,1.163,0.004,0.920,2.087
299,1,val1,44,1.158,0.005,0.925,2.088
300,4,val3,39,1.053,0.006,1.029,2.088
301,4,val1,43,1.157,0.005,0.930,2.093
302,4,val1,55,1.467,0.005,0.621,2.093
303,4,val2,47,1.259,0.005,0.830,2.094
304,3,val1,35,0.937,0.006,1.149,2.092
305,3,val2,43,1.146,0.005,0.942,2.093
306,3,val3,55,1.454,0.006,0.633,2.093
307,3,val1,39,1.043,0.007,1.042,2.093
308,3,val2,51,1.352,0.006,0.736,2.094
309,2,val2,36,0.956,0.007,1.132,2.095
310,3,val3,59,1.557,0.007,0.530,2.094
311,3,val1,47,1.249,0.005,0.840,2.095
312,3,val3,67,1.771,0.006,0.318,2.095
313,2,val1,48,1.267,0.005,0.824,2.096
314,4,val2,51,1.364,0.006,0.726,2.096
315,4,val1,63,1.672,0.007,0.418,2.097
316,2,val2,52,1.371,0.005,0.721,2.098
317,3,val1,63,1.664,0.006,0.428,2.098
318,1,val3,56,1.467,0.006,0.625,2.099
319,3,val3,71,1.876,0.006,0.217,2.099
320,4,val2,59,1.570,0.008,0.521,2.099
321,4,val2,67,1.776,0.007,0.316,2.100
322,4,val2,71,1.881,0.007,0.212,2.100
323,1,val1,60,1.572,0.007,0.520,2.099
324,3,val3,44,1.172,0.004,0.924,2.100
325,1,val1,52,1.364,0.006,0.731,2.101
326,1,val2,40,1.052,0.013,1.037,2.102
327,1,val2,48,1.261,0.005,0.836,2.102
328,1,val3,68,1.779,0.007,0.316,2.103
329,1,val2,64,1.676,0.006,0.420,2.103
330,1,val1,72,1.883,0.008,0.213,2.104
331,0,val3,40,1.057,0.008,1.039,2.104
332,2,val2,56,1.474,0.006,0.624,2.104
333,0,val2,44,1.160,0.005,0.940,2.105
334,2,val2,64,1.683,0.006,0.416,2.105
335,0,val1,48,1.264,0.005,0.836,2.106
336,0,val2,52,1.365,0.007,0.734,2.106
337,3,val1,52,1.378,0.005,0.723,2.106
338,0,val2,56,1.469,0.006,0.631,2.106
339,2,val1,60,1.580,0.006,0.521,2.106
340,3,val2,48,1.275,0.005,0.827,2.107
341,3,val1,40,1.068,0.012,1.027,2.107
342,3,val2,36,0.967,0.008,1.132,2.107
343,2,val3,40,1.060,0.013,1.034,2.107
344,0,val3,64,1.680,0.006,0.422,2.108
345,3,val2,56,1.480,0.006,0.622,2.108
346,2,val1,72,1.890,0.007,0.211,2.108
347,0,val3,72,1.889,0.006,0.213,2.108
348,0,val1,60,1.573,0.007,0.529,2.108
349,3,val2,60,1.584,0.006,0.518,2.108
350,2,val3,68,1.787,0.007,0.315,2.108
351,3,val2,64,1.688,0.007,0.413,2.109
352,0,val1,68,1.784,0.006,0.319,2.109
353,3,val2,68,1.796,0.004,0.309,2.109
354,3,val1,72,1.900,0.004,0.206,2.111
355,2,val2,45,1.189,0.005,0.918,2.111
356,4,val3,44,1.183,0.004,0.927,2.114
357,4,val2,36,0.973,0.006,1.141,2.120
358,4,val2,48,1.285,0.005,0.831,2.121
359,4,val3,40,1.080,0.009,1.032,2.121
360,1,val3,45,1.183,0.005,0.932,2.121
361,1,val3,53,1.390,0.007,0.725,2.122
362,1,val3,61,1.597,0.007,0.519,2.122
363,4,val3,52,1.390,0.005,0.726,2.122
364,4,val3,60,1.596,0.007,0.520,2.122
365,4,val3,56,1.492,0.006,0.625,2.123
366,4,val3,64,1.699,0.007,0.417,2.123
367,4,val3,68,1.804,0.007,0.313,2.124
368,1,val1,103,2.685,0.005,0.310,3.000
369,1,val1,111,2.889,0.006,0.105,3.000
370,3,val1,90,2.369,0.006,0.626,3.000
371,3,val1,98,2.578,0.006,0.417,3.001
372,3,val2,110,2.890,0.007,0.105,3.002
373,4,val3,79,2.084,0.005,0.916,3.005
374,0,val1,83,2.174,0.005,0.829,3.007
375,2,val2,83,2.173,0.005,0.830,3.008
376,2,val1,87,2.277,0.005,0.728,3.010
377,2,val1,99,2.588,0.006,0.417,3.011
378,2,val3,91,2.379,0.006,0.626,3.011
379,2,val2,75,1.968,0.005,1.039,3.012
380,0,val1,75,1.968,0.007,1.037,3.012
381,2,val3,95,2.484,0.005,0.523,3.012
382,2,val2,79,2.071,0.017,0.925,3.013
383,2,val3,111,2.898,0.008,0.107,3.013
384,0,val3,79,2.070,0.014,0.928,3.013
385,2,val2,107,2.795,0.007,0.211,3.013
386,0,val2,87,2.277,0.005,0.732,3.014
387,0,val2,91,2.380,0.006,0.629,3.014
388,0,val3,95,2.485,0.007,0.523,3.015
389,0,val2,99,2.589,0.007,0.419,3.015
390,0,val2,107,2.799,0.006,0.210,3.015
391,0,val1,103,2.694,0.006,0.315,3.016
392,0,val3,111,2.902,0.008,0.106,3.016
393,4,val1,87,2.292,0.005,0.720,3.017
394,4,val2,83,2.188,0.005,0.827,3.019
395,4,val3,91,2.394,0.005,0.619,3.019
396,4,val3,99,2.600,0.005,0.414,3.020
397,4,val3,107,2.806,0.006,0.208,3.020
398,4,val2,75,1.982,0.014,1.025,3.021
399,4,val2,103,2.704,0.008,0.309,3.022
400,3,val3,87,2.293,0.005,0.727,3.025
401,3,val3,79,2.089,0.012,0.926,3.028
402,1,val3,80,2.089,0.006,0.932,3.027
403,1,val3,96,2.503,0.006,0.518,3.028
404,1,val2,88,2.294,0.005,0.729,3.028
405,1,val2,100,2.609,0.007,0.413,3.029
406,1,val2,104,2.711,0.007,0.311,3.029
407,3,val2,91,2.395,0.005,0.629,3.029
408,3,val2,75,1.981,0.011,1.037,3.029
409,2,val1,103,2.691,0.007,0.332,3.030
410,1,val2,108,2.813,0.008,0.208,3.030
411,3,val3,99,2.604,0.007,0.418,3.030
412,3,val2,95,2.498,0.008,0.524,3.030
413,3,val3,107,2.813,0.008,0.210,3.030
414,4,val1,111,2.908,0.008,0.119,3.035
415,3,val1,83,2.189,0.005,0.841,3.035
416,4,val1,95,2.497,0.009,0.529,3.035
417,1,val1,76,1.986,0.013,1.037,3.036
418,3,val1,103,2.710,0.008,0.317,3.035
419,3,val1,111,2.918,0.007,0.110,3.036
420,3,val1,76,2.007,0.005,1.024,3.036
421,1,val1,84,2.191,0.005,0.841,3.036
422,1,val1,92,2.399,0.005,0.633,3.037
423,1,val1,112,2.915,0.009,0.114,3.037
424,2,val2,76,1.993,0.010,1.034,3.037
425,2,val3,84,2.200,0.004,0.833,3.038
426,2,val1,92,2.405,0.005,0.628,3.038
427,2,val3,88,2.303,0.005,0.730,3.038
428,0,val1,84,2.200,0.005,0.834,3.039
429,0,val3,88,2.303,0.005,0.732,3.040
430,2,val3,100,2.615,0.006,0.418,3.039
431,1,val3,85,2.217,0.005,0.819,3.040
432,0,val1,92,2.406,0.005,0.629,3.040
433,0,val1,76,1.993,0.009,1.038,3.040
434,3,val3,80,2.112,0.005,0.924,3.041
435,2,val3,108,2.821,0.007,0.212,3.040
436,2,val2,80,2.096,0.011,0.933,3.041
437,2,val2,96,2.510,0.006,0.525,3.041
438,3,val3,88,2.318,0.006,0.718,3.041
439,2,val2,104,2.717,0.007,0.317,3.041
440,0,val1,96,2.512,0.006,0.525,3.042
441,0,val2,80,2.096,0.013,0.933,3.042
442,4,val3,84,2.213,0.005,0.824,3.043
443,0,val2,104,2.721,0.007,0.315,3.043
444,4,val3,88,2.317,0.005,0.721,3.043
445,3,val2,84,2.215,0.006,0.823,3.044
446,0,val3,100,2.617,0.006,0.421,3.043
447,0,val2,108,2.826,0.007,0.211,3.044
448,2,val1,81,2.122,0.005,0.919,3.046
449,4,val3,92,2.419,0.006,0.621,3.046
450,4,val3,108,2.831,0.006,0.209,3.046
451,4,val2,76,2.008,0.009,1.030,3.047
452,3,val2,96,2.525,0.006,0.516,3.046
453,3,val2,92,2.420,0.006,0.621,3.047
454,1,val1,81,2.115,0.006,0.926,3.047
455,4,val3,80,2.110,0.008,0.929,3.047
456,4,val3,96,2.523,0.006,0.518,3.047
457,4,val2,100,2.627,0.006,0.415,3.048
458,4,val2,104,2.729,0.009,0.311,3.049
459,0,val2,81,2.122,0.005,0.923,3.050
460,0,val3,89,2.329,0.005,0.717,3.051
461,3,val2,100,2.630,0.006,0.415,3.051
462,0,val2,85,2.226,0.005,0.820,3.051
463,3,val2,104,2.736,0.005,0.310,3.051
464,1,val1,89,2.319,0.006,0.726,3.051
465,1,val1,77,2.012,0.009,1.031,3.052
466,1,val3,93,2.426,0.005,0.621,3.052
467,3,val3,108,2.839,0.006,0.207,3.052
468,1,val2,97,2.530,0.006,0.517,3.053
469,1,val2,101,2.634,0.006,0.414,3.054
470,1,val1,105,2.737,0.007,0.310,3.054
471,1,val3,109,2.838,0.007,0.209,3.054
472,2,val3,89,2.329,0.006,0.721,3.055
473,2,val2,85,2.225,0.005,0.830,3.060
474,2,val2,77,2.019,0.012,1.030,3.060
475,0,val3,93,2.433,0.006,0.622,3.061
476,2,val3,93,2.432,0.006,0.624,3.061
477,2,val1,97,2.536,0.006,0.520,3.062
478,2,val2,101,2.641,0.006,0.415,3.062
479,2,val2,105,2.742,0.007,0.313,3.062
480,0,val1,77,2.020,0.016,1.027,3.063
481,2,val2,109,2.848,0.007,0.209,3.063
482,0,val1,101,2.641,0.006,0.416,3.063
483,0,val3,97,2.537,0.006,0.520,3.064
484,0,val1,105,2.746,0.005,0.312,3.064
485,0,val2,109,2.851,0.006,0.208,3.064
486,3,val3,73,1.926,0.006,1.133,3.065
487,4,val2,81,2.136,0.004,0.927,3.067
488,4,val1,85,2.239,0.005,0.824,3.068
489,4,val2,89,2.343,0.005,0.720,3.068
490,0,val1,82,2.149,0.005,0.915,3.068
491,4,val1,73,1.931,0.008,1.129,3.068
492,4,val1,77,2.033,0.014,1.022,3.069
493,4,val1,97,2.549,0.007,0.517,3.072
494,0,val2,74,1.940,0.007,1.125,3.073
495,4,val1,101,2.654,0.006,0.413,3.073
496,2,val3,82,2.147,0.005,0.922,3.074
497,4,val1,105,2.755,0.008,0.311,3.074
498,4,val2,109,2.857,0.008,0.210,3.075
499,1,val3,82,2.140,0.006,0.929,3.075
500,4,val3,93,2.446,0.005,0.624,3.075
501,1,val1,74,1.934,0.007,1.134,3.075
502,1,val3,86,2.242,0.005,0.829,3.076
503,0,val1,86,2.251,0.005,0.821,3.078
504,1,val3,78,2.037,0.012,1.029,3.078
505,3,val3,77,2.033,0.009,1.037,3.079
506,3,val3,81,2.138,0.006,0.936,3.080
507,3,val1,89,2.343,0.006,0.732,3.081
508,3,val3,85,2.240,0.006,0.835,3.081
509,3,val1,97,2.551,0.006,0.524,3.082
510,3,val3,101,2.656,0.007,0.419,3.082
511,3,val1,93,2.446,0.007,0.630,3.082
512,1,val1,94,2.452,0.005,0.625,3.082
513,1,val2,90,2.345,0.006,0.731,3.082
514,1,val3,106,2.762,0.007,0.314,3.083
515,3,val1,109,2.865,0.007,0.211,3.083
516,1,val1,102,2.661,0.008,0.415,3.083
517,3,val1,105,2.762,0.007,0.315,3.083
518,1,val2,98,2.557,0.005,0.522,3.084
519,1,val3,110,2.863,0.008,0.213,3.085
520,1,val3,83,2.166,0.004,0.915,3.085
521,0,val1,90,2.354,0.006,0.725,3.086
522,0,val3,78,2.045,0.010,1.034,3.089
523,0,val1,94,2.458,0.006,0.625,3.089
524,2,val1,74,1.943,0.007,1.139,3.089
525,2,val2,98,2.561,0.006,0.522,3.089
526,0,val3,102,2.668,0.005,0.416,3.090
527,0,val1,98,2.563,0.006,0.521,3.090
528,2,val1,94,2.458,0.006,0.626,3.090
529,2,val2,102,2.666,0.008,0.417,3.090
530,2,val1,106,2.768,0.007,0.316,3.091
531,0,val3,106,2.773,0.005,0.313,3.090
532,2,val3,86,2.252,0.005,0.834,3.091
533,1,val3,87,2.268,0.005,0.818,3.091
534,1,val1,75,1.961,0.008,1.123,3.092
535,0,val1,110,2.876,0.006,0.210,3.091
536,2,val3,78,2.044,0.011,1.036,3.091
537,2,val3,90,2.354,0.006,0.732,3.092
538,2,val3,110,2.873,0.007,0.212,3.092
539,4,val2,82,2.162,0.005,0.926,3.093
540,3,val1,74,1.954,0.006,1.133,3.093
541,3,val2,86,2.266,0.005,0.823,3.094
542,3,val1,82,2.163,0.005,0.926,3.094
543,4,val2,86,2.265,0.005,0.829,3.098
544,4,val1,90,2.369,0.005,0.725,3.099
545,4,val2,94,2.472,0.005,0.622,3.100
546,4,val3,78,2.058,0.010,1.032,3.100
547,4,val2,74,1.957,0.009,1.135,3.100
548,4,val3,98,2.575,0.006,0.519,3.101
549,4,val3,102,2.679,0.007,0.416,3.101
550,4,val1,106,2.781,0.008,0.313,3.102
551,4,val3,110,2.883,0.008,0.212,3.102
552,1,val1,79,2.064,0.010,1.028,3.102
553,1,val2,91,2.373,0.006,0.724,3.103
554,3,val3,94,2.472,0.006,0.625,3.103
555,3,val3,78,2.060,0.014,1.029,3.104
556,1,val2,95,2.478,0.005,0.621,3.104
557,1,val2,99,2.582,0.005,0.517,3.104
