id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,2,val1,22,0.780,0.004,2.294,3.078
1,4,val1,75,2.608,0.006,0.467,3.081
2,0,val1,27,0.942,0.007,2.132,3.081
3,1,val1,70,2.421,0.009,0.654,3.084
4,2,val1,18,0.644,0.006,2.441,3.091
5,2,val1,61,2.110,0.008,0.975,3.093
6,3,val1,21,0.756,0.007,2.333,3.096
7,0,val1,82,2.820,0.008,0.271,3.099
8,4,val1,51,1.788,0.006,1.307,3.101
9,1,val1,63,2.179,0.007,0.917,3.104
10,1,val1,1,0.061,0.004,3.040,3.105
11,3,val1,36,1.268,0.012,1.832,3.112
12,2,val1,21,0.746,0.008,2.354,3.108
13,2,val1,25,0.882,0.005,2.224,3.110
14,3,val1,61,2.122,0.007,0.986,3.115
15,0,val1,30,1.046,0.006,2.065,3.117
16,4,val1,66,2.302,0.004,0.815,3.121
17,4,val1,3,0.149,0.005,2.974,3.128
18,1,val1,76,2.624,0.007,0.497,3.129
19,2,val1,15,0.541,0.005,2.585,3.131
20,2,val1,52,1.803,0.006,1.323,3.132
21,3,val1,70,2.430,0.008,0.698,3.136
22,3,val1,1,0.073,0.005,3.059,3.137
23,0,val1,67,2.308,0.006,0.824,3.138
24,4,val1,60,2.098,0.008,1.033,3.140
25,4,val1,9,0.352,0.005,2.784,3.141
26,1,val1,6,0.231,0.004,2.907,3.143
27,1,val1,16,0.575,0.005,2.565,3.145
28,2,val1,64,2.211,0.012,0.923,3.146
29,2,val1,1,0.067,0.004,3.077,3.148
30,3,val1,37,1.301,0.006,1.843,3.150
31,3,val1,10,0.379,0.005,2.768,3.151
32,0,val1,79,2.717,0.006,0.430,3.153
33,4,val1,63,2.201,0.008,0.947,3.156
34,4,val1,4,0.183,0.004,2.970,3.157
35,0,val1,43,1.490,0.005,1.659,3.154
36,1,val1,46,1.599,0.009,1.553,3.160
37,1,val1,0,0.026,0.005,3.130,3.162
38,2,val1,31,1.086,0.005,2.072,3.163
39,2,val1,7,0.270,0.005,2.890,3.165
40,3,val1,16,0.583,0.007,2.576,3.166
41,3,val1,13,0.481,0.005,2.682,3.168
42,0,val1,40,1.387,0.004,1.779,3.170
43,3,val2,19,0.686,0.006,2.479,3.171
44,0,val1,37,1.286,0.005,1.881,3.171
45,0,val2,53,1.830,0.005,1.338,3.173
46,0,val2,50,1.729,0.005,1.442,3.176
47,4,val1,0,0.046,0.005,3.122,3.174
48,1,val2,44,1.531,0.004,1.641,3.177
49,4,val1,34,1.203,0.005,1.967,3.175
50,1,val1,58,2.009,0.013,1.156,3.177
51,4,val2,7,0.285,0.004,2.890,3.179
52,2,val1,13,0.473,0.005,2.702,3.180
53,3,val1,17,0.618,0.005,2.561,3.184
54,3,val2,7,0.277,0.005,2.909,3.191
55,0,val1,1,0.054,0.004,3.127,3.185
56,0,val1,16,0.563,0.006,2.618,3.187
57,2,val1,74,2.553,0.007,0.622,3.182
58,1,val2,56,1.940,0.007,1.232,3.178
59,4,val1,12,0.454,0.005,2.730,3.189
60,2,val1,68,2.347,0.007,0.840,3.195
61,2,val1,53,1.837,0.008,1.352,3.196
62,3,val1,32,1.129,0.006,2.063,3.198
63,3,val1,65,2.258,0.006,0.936,3.200
64,4,val1,1,0.081,0.005,3.105,3.190
65,1,val1,55,1.905,0.010,1.265,3.179
66,0,val2,5,0.190,0.004,3.010,3.204
67,1,val1,64,2.213,0.018,0.960,3.191
68,4,val1,16,0.591,0.005,2.613,3.210
69,2,val1,11,0.405,0.005,2.801,3.211
70,0,val1,34,1.183,0.007,2.016,3.206
71,3,val1,38,1.336,0.005,1.874,3.214
72,1,val1,61,2.112,0.013,1.068,3.193
73,1,val2,68,2.351,0.011,0.843,3.205
74,1,val2,23,0.816,0.006,2.385,3.207
75,0,val1,28,0.978,0.008,2.222,3.207
76,0,val3,49,1.695,0.008,1.511,3.214
77,0,val1,64,2.207,0.016,0.995,3.218
78,2,val1,2,0.100,0.004,3.108,3.212
79,4,val2,68,2.372,0.004,0.835,3.211
80,3,val1,62,2.157,0.007,1.054,3.219
81,0,val2,56,1.932,0.009,1.279,3.220
82,0,val1,41,1.421,0.005,1.794,3.220
83,1,val1,19,0.678,0.006,2.524,3.208
84,4,val3,36,1.272,0.008,1.938,3.218
85,3,val3,39,1.371,0.006,1.842,3.219
86,0,val2,8,0.291,0.005,2.926,3.222
87,2,val3,19,0.679,0.007,2.542,3.228
88,1,val1,25,0.883,0.008,2.318,3.209
89,4,val1,67,2.337,0.008,0.877,3.222
90,3,val2,4,0.176,0.004,3.039,3.219
91,0,val3,4,0.156,0.004,3.071,3.230
92,0,val1,68,2.342,0.006,0.888,3.235
93,2,val1,84,2.895,0.007,0.327,3.229
94,2,val3,4,0.169,0.005,3.058,3.231
95,3,val1,68,2.360,0.007,0.864,3.231
96,0,val1,62,2.136,0.005,1.095,3.237
97,1,val2,81,2.797,0.010,0.417,3.224
98,4,val1,80,2.779,0.008,0.436,3.223
99,4,val2,26,0.931,0.006,2.290,3.227
100,4,val2,69,2.405,0.005,0.821,3.231
101,4,val1,43,1.511,0.006,1.723,3.240
102,3,val1,80,2.770,0.015,0.447,3.232
103,4,val3,15,0.557,0.005,2.680,3.242
104,0,val2,20,0.700,0.006,2.533,3.240
105,1,val1,22,0.779,0.007,2.438,3.225
106,2,val3,26,0.916,0.004,2.324,3.244
107,2,val3,23,0.814,0.005,2.427,3.246
108,2,val1,60,2.076,0.005,1.165,3.246
109,3,val3,24,0.859,0.006,2.369,3.233
110,3,val2,14,0.515,0.004,2.718,3.237
111,3,val3,46,1.609,0.007,1.622,3.238
112,3,val2,56,1.950,0.006,1.284,3.241
113,4,val1,74,2.574,0.005,0.663,3.242
114,4,val2,32,1.135,0.006,2.104,3.246
115,1,val1,34,1.190,0.009,2.030,3.230
116,0,val3,13,0.461,0.006,2.775,3.242
117,2,val1,75,2.588,0.010,0.650,3.248
118,4,val2,2,0.115,0.005,3.127,3.247
119,3,val3,33,1.163,0.007,2.078,3.248
120,3,val1,47,1.643,0.006,1.600,3.249
121,3,val2,35,1.232,0.006,2.014,3.251
122,0,val2,18,0.631,0.004,2.608,3.243
123,0,val3,65,2.239,0.005,0.999,3.244
124,0,val2,11,0.393,0.008,2.855,3.256
125,3,val1,26,0.926,0.007,2.318,3.251
126,2,val3,56,1.939,0.004,1.315,3.258
127,4,val3,33,1.169,0.005,2.075,3.250
128,1,val1,77,2.659,0.007,0.579,3.245
129,0,val2,0,0.019,0.005,3.232,3.257
130,3,val2,23,0.824,0.006,2.422,3.252
131,2,val3,71,2.449,0.007,0.804,3.259
132,2,val1,78,2.690,0.011,0.561,3.262
133,2,val3,65,2.245,0.009,1.019,3.273
134,2,val3,41,1.429,0.007,1.840,3.275
135,4,val3,21,0.761,0.009,2.484,3.253
136,1,val1,83,2.865,0.011,0.369,3.246
137,1,val2,33,1.155,0.007,2.084,3.246
138,0,val3,38,1.319,0.005,1.933,3.257
139,3,val3,52,1.814,0.005,1.442,3.261
140,4,val1,83,2.882,0.009,0.364,3.255
141,2,val1,42,1.463,0.006,1.810,3.279
142,2,val3,50,1.736,0.008,1.547,3.291
143,2,val3,32,1.120,0.005,2.170,3.295
144,2,val3,47,1.633,0.007,1.676,3.316
145,1,val2,15,0.539,0.004,2.715,3.259
146,1,val1,71,2.455,0.007,0.798,3.260
147,0,val3,71,2.444,0.007,0.806,3.258
148,3,val3,22,0.789,0.004,2.469,3.262
149,4,val1,47,1.650,0.005,1.602,3.257
150,4,val2,71,2.474,0.006,0.782,3.262
151,4,val3,6,0.251,0.005,3.007,3.263
152,4,val2,41,1.441,0.006,1.817,3.264
153,4,val3,73,2.540,0.006,0.718,3.265
154,4,val1,62,2.167,0.008,1.098,3.273
155,4,val2,30,1.067,0.005,2.204,3.276
156,4,val2,45,1.579,0.005,1.694,3.277
157,4,val3,70,2.439,0.004,0.838,3.281
158,4,val3,76,2.643,0.007,0.634,3.283
159,4,val1,17,0.625,0.004,2.657,3.286
160,2,val3,35,1.225,0.006,2.088,3.318
161,4,val2,20,0.727,0.006,2.555,3.288
162,0,val3,80,2.751,0.008,0.509,3.268
163,1,val2,51,1.767,0.007,1.486,3.261
164,3,val1,50,1.747,0.008,1.510,3.265
165,4,val1,5,0.217,0.005,3.066,3.288
166,2,val3,59,2.042,0.008,1.286,3.336
167,0,val1,32,1.115,0.007,2.147,3.269
168,0,val3,77,2.649,0.013,0.608,3.270
169,0,val2,39,1.353,0.005,1.913,3.271
170,0,val1,42,1.456,0.005,1.811,3.272
171,2,val3,17,0.611,0.006,2.721,3.338
172,3,val1,84,2.907,0.007,0.354,3.267
173,1,val1,62,2.146,0.007,1.109,3.262
174,4,val2,39,1.373,0.006,1.910,3.289
175,0,val2,75,2.581,0.005,0.686,3.273
176,3,val2,41,1.438,0.006,1.824,3.268
177,1,val2,36,1.259,0.005,2.009,3.273
178,4,val2,77,2.676,0.006,0.618,3.300
179,0,val2,45,1.557,0.005,1.721,3.283
180,3,val2,5,0.210,0.004,3.055,3.269
181,3,val3,67,2.326,0.011,0.939,3.276
182,3,val3,44,1.540,0.005,1.734,3.279
183,1,val2,48,1.667,0.006,1.602,3.275
184,1,val1,53,1.836,0.006,1.434,3.275
185,2,val3,14,0.507,0.007,2.842,3.356
186,3,val1,0,0.039,0.006,3.235,3.280
187,4,val1,59,2.063,0.007,1.230,3.300
188,1,val2,39,1.361,0.004,1.921,3.285
189,0,val1,26,0.907,0.007,2.370,3.284
190,0,val1,81,2.785,0.008,0.495,3.289
191,0,val3,74,2.547,0.009,0.734,3.290
192,2,val3,8,0.304,0.006,3.063,3.373
193,1,val2,82,2.831,0.007,0.449,3.286
194,0,val3,44,1.523,0.006,1.761,3.290
195,3,val2,2,0.107,0.004,3.170,3.281
196,4,val2,42,1.475,0.008,1.818,3.302
197,2,val3,20,0.713,0.005,2.656,3.374
198,1,val1,65,2.247,0.010,1.033,3.290
199,0,val2,48,1.661,0.006,1.629,3.295
200,3,val1,57,1.984,0.008,1.290,3.282
201,4,val3,82,2.850,0.010,0.442,3.302
202,2,val3,54,1.872,0.005,1.514,3.390
203,2,val3,45,1.565,0.005,1.822,3.392
204,2,val3,5,0.202,0.004,3.198,3.404
205,1,val1,11,0.402,0.005,2.884,3.291
206,4,val3,46,1.614,0.006,1.684,3.304
207,4,val1,29,1.033,0.005,2.272,3.311
208,2,val3,57,1.974,0.005,1.427,3.406
209,3,val2,29,1.028,0.006,2.258,3.292
210,1,val3,4,0.164,0.004,3.125,3.292
211,0,val2,9,0.325,0.004,2.970,3.299
212,4,val2,54,1.893,0.007,1.412,3.312
213,2,val3,36,1.260,0.007,2.150,3.418
214,2,val3,24,0.848,0.004,2.568,3.420
215,2,val3,30,1.052,0.006,2.373,3.431
216,1,val2,60,2.078,0.007,1.212,3.298
217,4,val2,56,1.962,0.007,1.346,3.315
218,2,val3,79,2.723,0.005,0.704,3.432
219,0,val1,63,2.171,0.006,1.123,3.300
220,3,val1,72,2.497,0.007,0.789,3.294
221,3,val2,42,1.471,0.007,1.816,3.294
222,4,val2,18,0.658,0.004,2.659,3.321
223,2,val3,51,1.770,0.007,1.669,3.446
224,2,val3,0,0.033,0.005,3.408,3.446
225,2,val3,9,0.338,0.006,3.115,3.458
226,1,val1,35,1.225,0.006,2.071,3.302
227,4,val2,48,1.684,0.006,1.635,3.324
228,0,val1,72,2.478,0.007,0.823,3.308
229,2,val3,82,2.827,0.005,0.628,3.460
230,3,val1,66,2.292,0.006,0.997,3.295
231,3,val3,64,2.225,0.006,1.066,3.297
232,3,val3,77,2.668,0.009,0.623,3.300
233,3,val2,63,2.190,0.009,1.105,3.304
234,1,val1,20,0.712,0.006,2.585,3.303
235,1,val2,66,2.283,0.011,1.016,3.309
236,0,val2,6,0.224,0.005,3.080,3.308
237,0,val3,2,0.088,0.004,3.217,3.309
238,3,val1,54,1.883,0.007,1.415,3.305
239,1,val2,3,0.130,0.004,3.177,3.311
240,0,val2,7,0.258,0.005,3.048,3.310
241,4,val3,52,1.825,0.006,1.498,3.328
242,4,val2,79,2.746,0.007,0.589,3.342
243,3,val1,60,2.088,0.008,1.223,3.319
244,0,val1,84,2.888,0.008,0.414,3.310
245,0,val3,23,0.804,0.006,2.501,3.311
246,2,val2,44,1.532,0.006,1.933,3.471
247,1,val3,43,1.496,0.005,1.811,3.311
248,3,val3,25,0.893,0.008,2.422,3.323
249,3,val3,74,2.566,0.007,0.751,3.323
250,3,val2,69,2.394,0.011,0.924,3.329
251,3,val2,3,0.141,0.004,3.186,3.332
252,2,val3,70,2.415,0.009,1.051,3.475
253,0,val2,3,0.122,0.006,3.190,3.318
254,4,val3,64,2.235,0.005,1.103,3.344
255,4,val3,58,2.029,0.008,1.310,3.347
256,4,val2,31,1.101,0.005,2.253,3.360
257,4,val2,37,1.305,0.005,2.053,3.364
258,4,val3,49,1.719,0.007,1.639,3.364
259,0,val2,24,0.839,0.007,2.474,3.319
260,4,val3,55,1.928,0.006,1.430,3.365
261,1,val3,49,1.700,0.008,1.606,3.313
262,3,val3,71,2.463,0.006,0.870,3.340
263,3,val2,79,2.736,0.006,0.606,3.347
264,3,val2,82,2.838,0.005,0.509,3.352
265,3,val3,83,2.872,0.012,0.473,3.357
266,0,val1,57,1.966,0.006,1.352,3.324
267,0,val3,29,1.011,0.006,2.311,3.328
268,0,val3,47,1.627,0.006,1.698,3.331
269,2,val2,27,0.950,0.005,2.520,3.475
270,2,val3,28,0.984,0.005,2.487,3.476
271,0,val1,54,1.864,0.007,1.461,3.332
272,3,val3,53,1.848,0.008,1.503,3.360
273,4,val2,40,1.407,0.008,1.963,3.378
274,2,val2,62,2.144,0.009,1.325,3.477
275,1,val1,78,2.692,0.010,0.612,3.314
276,0,val2,21,0.734,0.007,2.592,3.333
277,3,val2,6,0.244,0.005,3.120,3.369
278,4,val2,38,1.339,0.005,2.036,3.380
279,2,val2,69,2.381,0.007,1.092,3.480
280,2,val2,29,1.019,0.006,2.458,3.482
281,2,val2,38,1.327,0.006,2.152,3.485
282,1,val1,45,1.565,0.005,1.747,3.316
283,4,val3,61,2.132,0.008,1.240,3.380
284,2,val2,72,2.484,0.008,0.996,3.488
285,3,val3,59,2.052,0.007,1.317,3.377
286,0,val1,70,2.410,0.004,0.920,3.334
287,0,val2,58,2.001,0.007,1.328,3.335
288,0,val1,76,2.615,0.004,0.719,3.338
289,4,val3,19,0.693,0.006,2.683,3.382
290,3,val3,12,0.446,0.004,2.928,3.378
291,0,val1,15,0.529,0.004,2.807,3.340
292,1,val1,57,1.973,0.007,1.349,3.329
293,1,val3,40,1.396,0.005,1.932,3.333
294,2,val2,63,2.177,0.006,1.305,3.489
295,0,val2,22,0.769,0.007,2.575,3.351
296,3,val2,9,0.345,0.005,3.034,3.384
297,1,val3,13,0.471,0.006,2.857,3.334
298,4,val2,25,0.898,0.009,2.486,3.393
299,2,val2,33,1.155,0.009,2.326,3.490
300,2,val2,66,2.279,0.009,1.203,3.491
301,2,val2,48,1.667,0.008,1.816,3.491
302,3,val3,11,0.413,0.004,2.976,3.393
303,1,val1,69,2.388,0.013,0.936,3.336
304,2,val2,81,2.792,0.013,0.687,3.492
305,0,val2,61,2.103,0.008,1.243,3.354
306,0,val3,51,1.762,0.007,1.598,3.367
307,0,val2,19,0.666,0.006,2.698,3.370
308,0,val2,55,1.898,0.009,1.465,3.372
309,2,val3,6,0.236,0.005,3.252,3.492
310,4,val3,28,0.999,0.005,2.390,3.395
311,0,val3,78,2.684,0.006,0.695,3.384
312,4,val3,65,2.268,0.004,1.123,3.396
313,1,val2,73,2.523,0.009,0.805,3.338
314,2,val2,39,1.361,0.006,2.127,3.494
315,3,val3,15,0.548,0.004,2.841,3.394
316,0,val3,66,2.275,0.010,1.101,3.385
317,3,val2,34,1.197,0.005,2.194,3.397
318,3,val2,73,2.531,0.009,0.858,3.399
319,1,val2,10,0.368,0.005,2.966,3.340
320,4,val2,13,0.489,0.005,2.911,3.405
321,3,val3,20,0.720,0.005,2.681,3.407
322,3,val3,75,2.600,0.005,0.803,3.408
323,3,val2,18,0.652,0.006,2.752,3.410
324,3,val2,76,2.634,0.012,0.766,3.411
325,1,val3,7,0.266,0.004,3.079,3.349
326,1,val3,31,1.087,0.005,2.258,3.351
327,1,val2,24,0.850,0.008,2.500,3.358
328,1,val3,38,1.326,0.006,2.036,3.368
329,3,val2,28,0.994,0.005,2.422,3.420
330,3,val3,8,0.311,0.005,3.105,3.421
331,3,val3,78,2.702,0.008,0.712,3.422
332,3,val2,40,1.404,0.007,2.011,3.422
333,3,val2,31,1.095,0.005,2.329,3.429
334,1,val3,59,2.044,0.008,1.318,3.370
335,2,val2,3,0.135,0.004,3.360,3.498
336,0,val2,46,1.593,0.006,1.787,3.386
337,0,val2,52,1.796,0.009,1.583,3.388
338,3,val2,49,1.711,0.008,1.711,3.430
339,1,val2,27,0.952,0.010,2.412,3.374
340,1,val2,12,0.436,0.009,2.933,3.378
341,1,val3,37,1.292,0.009,2.085,3.387
342,1,val3,41,1.429,0.006,1.953,3.388
343,1,val2,28,0.985,0.009,2.396,3.390
344,1,val2,5,0.198,0.004,3.190,3.392
345,1,val3,8,0.300,0.005,3.095,3.400
346,3,val3,45,1.575,0.004,1.853,3.433
347,1,val3,74,2.557,0.011,0.834,3.402
348,2,val2,12,0.440,0.004,3.056,3.499
349,0,val3,69,2.376,0.006,1.016,3.398
350,4,val3,10,0.386,0.004,3.018,3.408
351,3,val2,43,1.506,0.006,1.922,3.434
352,1,val2,50,1.734,0.006,1.663,3.402
353,1,val2,80,2.763,0.009,0.632,3.404
354,1,val3,14,0.506,0.006,2.902,3.414
355,1,val2,47,1.634,0.006,1.775,3.415
356,4,val3,22,0.794,0.006,2.610,3.410
357,1,val3,32,1.122,0.008,2.286,3.415
358,0,val3,73,2.512,0.005,0.882,3.399
359,2,val2,67,2.313,0.011,1.175,3.499
360,3,val3,51,1.780,0.007,1.647,3.435
361,4,val3,14,0.523,0.004,2.896,3.423
362,4,val3,44,1.546,0.006,1.873,3.425
363,0,val2,25,0.873,0.005,2.521,3.400
364,4,val3,50,1.754,0.006,1.676,3.436
365,2,val2,58,2.007,0.008,1.485,3.500
366,1,val2,2,0.095,0.005,3.326,3.425
367,2,val2,46,1.599,0.005,1.896,3.500
368,2,val2,55,1.905,0.006,1.589,3.500
369,0,val2,14,0.495,0.004,2.902,3.401
370,4,val3,53,1.858,0.006,1.573,3.438
371,2,val2,43,1.497,0.007,1.996,3.501
372,4,val3,35,1.238,0.006,2.205,3.449
373,2,val2,49,1.701,0.007,1.793,3.501
374,4,val3,84,2.918,0.004,0.543,3.466
375,2,val2,40,1.395,0.008,2.098,3.501
376,1,val3,84,2.899,0.006,0.523,3.428
377,4,val3,23,0.829,0.005,2.633,3.468
378,2,val2,34,1.190,0.005,2.306,3.501
379,0,val3,60,2.068,0.007,1.337,3.411
380,2,val2,37,1.293,0.006,2.203,3.502
381,2,val2,10,0.371,0.005,3.126,3.502
382,2,val2,16,0.576,0.006,2.920,3.502
383,0,val2,31,1.081,0.007,2.324,3.412
384,0,val3,33,1.150,0.009,2.253,3.413
385,0,val2,35,1.217,0.004,2.192,3.413
386,0,val2,17,0.597,0.004,2.821,3.423
387,2,val2,77,2.656,0.007,0.841,3.503
388,3,val2,55,1.916,0.007,1.512,3.435
389,1,val3,17,0.609,0.005,2.825,3.439
390,0,val2,83,2.855,0.015,0.554,3.424
391,1,val3,29,1.019,0.009,2.413,3.441
392,4,val3,8,0.319,0.004,3.156,3.479
393,3,val3,30,1.061,0.005,2.379,3.445
394,0,val3,36,1.251,0.005,2.170,3.426
395,1,val3,75,2.590,0.008,0.854,3.453
396,2,val2,83,2.862,0.009,0.632,3.503
397,4,val3,27,0.965,0.005,2.511,3.481
398,3,val3,81,2.807,0.013,0.627,3.447
399,0,val2,59,2.034,0.004,1.393,3.431
400,0,val3,12,0.427,0.005,3.008,3.440
401,0,val3,10,0.359,0.004,3.087,3.450
402,2,val2,80,2.758,0.006,0.739,3.503
403,3,val3,48,1.678,0.008,1.777,3.463
404,1,val3,54,1.870,0.009,1.577,3.456
405,4,val3,11,0.421,0.009,3.064,3.493
406,2,val3,76,2.623,0.010,0.874,3.506
407,3,val3,27,0.960,0.007,2.496,3.464
408,1,val3,42,1.463,0.007,2.003,3.473
409,4,val3,78,2.710,0.014,0.773,3.497
410,4,val3,24,0.863,0.004,2.639,3.507
411,4,val3,81,2.813,0.013,0.684,3.510
412,3,val2,58,2.019,0.008,1.455,3.482
413,2,val3,73,2.519,0.011,0.990,3.519
414,1,val3,26,0.917,0.007,2.562,3.486
415,1,val3,30,1.053,0.007,2.427,3.487
416,1,val3,72,2.489,0.009,0.999,3.498
417,1,val3,21,0.745,0.007,2.748,3.500
418,1,val3,79,2.727,0.005,0.782,3.515
419,4,val3,72,2.507,0.005,1.009,3.521
420,1,val3,18,0.644,0.006,2.876,3.525
421,1,val3,67,2.316,0.008,1.203,3.527
422,4,val3,57,1.997,0.005,1.520,3.523
423,1,val3,9,0.334,0.005,3.193,3.532
424,1,val3,52,1.801,0.007,1.730,3.538
425,4,val3,165,5.670,0.013,2.316,7.999
426,3,val3,138,4.730,0.008,3.261,7.999
427,1,val3,115,3.949,0.009,4.043,8.001
428,4,val3,162,5.567,0.012,2.441,8.020
429,4,val3,91,3.154,0.018,4.850,8.022
430,3,val3,154,5.275,0.007,2.741,8.023
431,2,val3,150,5.151,0.011,2.861,8.023
432,2,val3,126,4.330,0.008,3.687,8.025
433,1,val3,106,3.643,0.008,4.377,8.028
434,1,val3,112,3.847,0.008,4.175,8.030
435,0,val3,178,6.091,0.019,1.925,8.035
436,0,val3,169,5.785,0.015,2.238,8.037
437,2,val3,156,5.360,0.017,2.663,8.040
438,4,val3,174,5.980,0.020,2.039,8.039
439,3,val3,108,3.714,0.007,4.320,8.041
440,1,val3,127,4.358,0.010,3.680,8.048
441,4,val3,105,3.625,0.007,4.419,8.050
442,0,val3,93,3.193,0.318,4.540,8.051
443,4,val3,168,5.772,0.017,2.264,8.053
444,0,val3,121,4.146,0.007,3.900,8.053
445,3,val3,166,5.686,0.012,2.358,8.056
446,2,val3,163,5.597,0.010,2.451,8.058
447,1,val3,167,5.726,0.009,2.324,8.060
448,1,val3,101,3.473,0.099,4.491,8.063
449,0,val3,151,5.169,0.008,2.891,8.068
450,4,val3,126,4.342,0.009,3.737,8.088
451,0,val3,154,5.273,0.007,2.808,8.088
452,3,val3,151,5.173,0.007,2.911,8.091
453,3,val3,109,3.748,0.008,4.337,8.093
454,1,val3,146,5.010,0.007,3.080,8.097
455,2,val3,172,5.904,0.016,2.181,8.102
456,0,val3,101,3.466,0.066,4.574,8.107
457,1,val3,164,5.624,0.014,2.471,8.108
458,0,val3,166,5.684,0.014,2.410,8.109
459,1,val3,97,3.338,0.232,4.540,8.110
460,3,val3,139,4.765,0.007,3.332,8.104
461,0,val3,126,4.317,0.007,3.792,8.115
462,3,val3,93,3.211,0.332,4.574,8.116
463,2,val3,89,3.068,0.015,5.030,8.112
464,0,val3,142,4.862,0.011,3.243,8.117
465,1,val3,90,3.101,0.038,4.982,8.121
466,3,val3,118,4.052,0.009,4.058,8.118
467,0,val3,94,3.228,0.295,4.605,8.128
468,3,val3,175,5.994,0.012,2.123,8.128
469,4,val3,108,3.727,0.006,4.396,8.130
470,2,val3,142,4.875,0.009,3.247,8.131
471,0,val3,173,5.921,0.009,2.199,8.129
472,0,val3,130,4.452,0.008,3.681,8.141
473,1,val3,152,5.215,0.010,2.917,8.142
474,3,val2,160,5.481,0.010,2.653,8.144
475,4,val3,92,3.188,0.365,4.591,8.145
476,2,val3,139,4.773,0.009,3.352,8.133
477,0,val1,136,4.657,0.009,3.480,8.147
478,0,val1,139,4.760,0.009,3.379,8.149
479,1,val1,162,5.556,0.009,2.578,8.144
480,4,val3,114,3.933,0.008,4.212,8.153
481,4,val3,151,5.194,0.008,2.952,8.154
482,3,val3,163,5.584,0.010,2.552,8.146
483,1,val3,161,5.522,0.017,2.608,8.147
484,2,val2,144,4.945,0.011,3.190,8.145
485,2,val2,153,5.255,0.013,2.880,8.148
486,0,val1,176,6.024,0.007,2.132,8.163
487,0,val1,103,3.533,0.009,4.624,8.167
488,1,val1,165,5.660,0.014,2.479,8.152
489,1,val3,140,4.805,0.008,3.347,8.160
490,1,val1,111,3.813,0.008,4.345,8.166
491,1,val2,155,5.317,0.006,2.848,8.172
492,3,val3,170,5.824,0.010,2.313,8.146
493,2,val3,151,5.185,0.010,2.975,8.169
494,2,val3,96,3.304,0.252,4.615,8.171
495,0,val1,115,3.943,0.009,4.220,8.173
496,3,val1,101,3.479,0.009,4.658,8.147
497,1,val3,134,4.599,0.009,3.566,8.174
498,4,val3,88,3.052,0.051,5.059,8.162
499,0,val1,106,3.636,0.007,4.532,8.175
500,2,val2,90,3.101,0.411,4.664,8.177
501,3,val1,137,4.696,0.007,3.452,8.155
502,4,val3,120,4.139,0.010,4.016,8.164
503,1,val3,100,3.439,0.138,4.610,8.187
504,0,val3,170,5.819,0.009,2.349,8.176
505,0,val3,95,3.262,0.269,4.647,8.178
506,2,val3,115,3.953,0.007,4.224,8.184
507,4,val2,156,5.361,0.010,2.808,8.179
508,1,val3,125,4.289,0.015,3.886,8.190
509,0,val3,149,5.099,0.010,3.081,8.190
510,3,val3,130,4.458,0.009,3.689,8.156
511,3,val3,167,5.719,0.007,2.432,8.158
512,3,val1,179,6.131,0.032,1.994,8.158
513,2,val3,102,3.510,0.048,4.627,8.186
514,0,val3,122,4.180,0.006,4.014,8.200
515,0,val1,88,3.023,0.274,4.903,8.200
516,0,val3,134,4.588,0.008,3.604,8.201
517,0,val1,177,6.058,0.092,2.054,8.204
518,0,val1,112,3.841,0.008,4.358,8.207
519,2,val2,114,3.919,0.009,4.258,8.186
520,3,val3,148,5.071,0.011,3.086,8.168
521,1,val1,163,5.590,0.007,2.605,8.202
522,4,val3,178,6.115,0.019,2.047,8.181
523,4,val2,87,3.019,0.477,4.686,8.182
524,4,val2,138,4.752,0.009,3.431,8.191
525,2,val2,108,3.713,0.008,4.467,8.188
526,1,val3,149,5.113,0.011,3.080,8.204
527,0,val1,85,2.922,0.067,5.221,8.210
528,4,val3,160,5.498,0.011,2.683,8.192
529,4,val2,135,4.648,0.007,3.540,8.195
530,4,val3,142,4.887,0.008,3.305,8.201
531,3,val3,91,3.143,0.016,5.010,8.169
532,3,val1,164,5.618,0.010,2.542,8.170
533,0,val3,161,5.512,0.008,2.695,8.215
534,4,val3,133,4.580,0.007,3.618,8.205
535,1,val1,130,4.461,0.012,3.731,8.204
536,3,val2,133,4.559,0.007,3.607,8.173
537,3,val2,169,5.790,0.017,2.368,8.175
538,2,val3,97,3.338,0.223,4.634,8.195
539,4,val2,141,4.853,0.007,3.350,8.210
540,1,val1,132,4.530,0.007,3.672,8.210
541,1,val1,157,5.386,0.007,2.819,8.211
542,0,val1,118,4.044,0.007,4.164,8.216
543,0,val1,131,4.485,0.007,3.725,8.218
544,0,val3,143,4.896,0.009,3.322,8.227
545,2,val2,105,3.611,0.009,4.585,8.206
546,1,val3,137,4.702,0.013,3.499,8.214
547,1,val2,158,5.422,0.014,2.781,8.216
548,1,val3,143,4.908,0.016,3.299,8.223
549,1,val3,174,5.968,0.012,2.244,8.224
550,0,val1,167,5.717,0.012,2.502,8.231
551,1,val2,93,3.203,0.271,4.751,8.226
552,2,val3,93,3.203,0.347,4.658,8.208
553,3,val3,158,5.413,0.010,2.762,8.185
554,4,val3,176,6.048,0.012,2.155,8.214
555,0,val3,179,6.129,0.019,2.084,8.232
556,1,val2,122,4.186,0.009,4.032,8.227
557,2,val2,117,4.021,0.010,4.179,8.210
